dataset,strategy,model_name,accuracy,base,final_acc,checkpoint,num_successes_seen,average_reward,perc_learnable,abs_improv,model_size,relative_improvement,train_score
kegg,random,Qwen3-4B,0.4589041095890411,0.4383561643835616,0.4452054794520548,600,2635,0.5489583333333333,0.18166666666666667,0.02054794520547948,4,0.03658536585365858,0.5
kegg,random,Qwen3-4B,0.4589041095890411,0.4383561643835616,0.4452054794520548,700,3103,0.5541071428571429,0.18428571428571427,0.02054794520547948,4,0.03658536585365858,0.5
kegg,random,Qwen3-4B,0.4041095890410959,0.4383561643835616,0.4452054794520548,800,3572,0.558125,0.1875,-0.034246575342465724,4,-0.060975609756097504,0.5
kegg,random,Qwen3-4B,0.4657534246575342,0.4383561643835616,0.4452054794520548,900,4040,0.5611111111111111,0.18333333333333332,0.0273972602739726,4,0.048780487804878044,0.5
kegg,random,Qwen3-4B,0.4452054794520548,0.4383561643835616,0.4452054794520548,1000,4516,0.5645,0.185,0.006849315068493178,4,0.012195121951219561,0.5
shuffleobj,easiest,Llama-3.1-8B-Instruct,0.208,0.2504,0.584,100,315,0.39375,0.83,-0.04240000000000002,8,-0.05656350053361795,0.5
shuffleobj,easiest,Llama-3.1-8B-Instruct,0.32,0.2504,0.584,200,723,0.451875,0.84,0.0696,8,0.09284951974386338,0.5
shuffleobj,easiest,Llama-3.1-8B-Instruct,0.384,0.2504,0.584,300,1287,0.53625,0.7933333333333333,0.1336,8,0.1782283884738527,0.5
shuffleobj,easiest,Llama-3.1-8B-Instruct,0.552,0.2504,0.584,400,2007,0.6271875,0.7025,0.30160000000000003,8,0.4023479188900747,0.5
shuffleobj,easiest,Llama-3.1-8B-Instruct,0.52,0.2504,0.584,500,2774,0.6935,0.618,0.2696,8,0.35965848452508004,0.5
shuffleobj,easiest,Llama-3.1-8B-Instruct,0.616,0.2504,0.584,600,3562,0.7420833333333333,0.5333333333333333,0.3656,8,0.487726787620064,0.5
shuffleobj,easiest,Llama-3.1-8B-Instruct,0.6,0.2504,0.584,700,4350,0.7767857142857143,0.4714285714285714,0.34959999999999997,8,0.46638207043756663,0.5
shuffleobj,easiest,Llama-3.1-8B-Instruct,0.624,0.2504,0.584,800,5136,0.8025,0.43,0.3736,8,0.49839914621131265,0.5
shuffleobj,easiest,Llama-3.1-8B-Instruct,0.664,0.2504,0.584,900,5930,0.8236111111111111,0.3888888888888889,0.4136,8,0.551760939167556,0.5
